radius,epsilon,feature3,feature4
0.22,9.0,0.5258728326115119,0.5753836790102106
0.4,9.0,0.3729676863584635,0.2913718786833043
0.3,16.0,0.3006103719820242,0.29742974588696575
0.2,15.0,0.5764269984901086,0.5451893942956839
0.1,14.0,1.01537267741639,0.8402953475848332
0.4,12.0,0.3230294310656188,0.2525527128285776
0.25,10.0,0.42462781361227886,0.46783102488484285
0.22,11.0,0.48499548323456665,0.5395840652149084
0.2,13.0,0.6104437733082335,0.57249178348778
0.2,6.0,0.7299771808566942,0.6980894608286816
0.32,6.0,0.4746992676550631,0.42721700332090945
0.31,12.0,0.34153394657585334,0.32489078684513145
0.2,11.0,0.6368764278244085,0.6032317606426464
0.27,15.0,0.3294904912020899,0.35527843141967425
0.3,15.0,0.3103162286673442,0.30635139979316867
0.29,7.0,0.45706854624666593,0.4455736897330603
0.22,5.0,0.6584499141547967,0.6713019456898954
0.15,16.0,0.761654909864877,0.7009987560198989
0.21,13.0,0.5237966051497376,0.5414044126803115
0.35,10.0,0.36017737431587926,0.3085091582587376
0.4,16.0,0.27977651542896914,0.2188923209354082
0.27,9.0,0.4212352496849171,0.4398023062774597
0.33,10.0,0.36583254884350336,0.32815333613944614
0.2,7.0,0.7059186646531483,0.676707699425562
0.26,5.0,0.5680140708809656,0.5704053301039718
0.24,11.0,0.42354006719507326,0.4782169754100652
0.22,16.0,0.41469588211151776,0.4713620819758051
0.22,15.0,0.42623955943318304,0.48309264627452786
0.05,15.0,1.1039080139478143,0.8639644955979249
0.2,12.0,0.6233976043726402,0.5874068302153319
0.27,14.0,0.3406777255003614,0.366018093529671
0.45,9.0,0.372677996249965,0.2886751345948642
0.25,15.0,0.3509352899224909,0.39823567242298497
0.27,8.0,0.44551135601142317,0.46078899925615735
0.24,10.0,0.4423252709208655,0.4952291253912011
0.23,5.0,0.6254315788429065,0.6446079383508345
0.26,9.0,0.43215647600378343,0.46190644861452085
0.05,14.0,1.1042386016285815,0.864030248269696
0.29,12.0,0.35175047440565615,0.3540843682529492
0.29,4.0,0.5972218169112665,0.5547590136957354
0.45,4.0,0.5590169943749473,0.43301270189238017
0.32,9.0,0.3890884934428723,0.356588490964712
0.24,5.0,0.6016904732365994,0.6187322372692038
0.15,12.0,0.8334248411834875,0.7446662334724269
0.35,14.0,0.30483165158687353,0.26271480097698985
0.23,10.0,0.4669254156118425,0.5247797252459133
0.23,7.0,0.5439020035696819,0.5879655383734698
0.15,4.0,0.9540748745380966,0.8225522023045883
0.21,10.0,0.5713286148555307,0.5890985053106718
0.26,12.0,0.3769705332126168,0.4119022251430595
0.32,5.0,0.5188527379680788,0.46237983847182146
0.32,14.0,0.3128947147012882,0.290996342625843
0.32,15.0,0.3023997539538194,0.28176568736070146
0.35,4.0,0.5667130009003349,0.47273229730111177
0.05,12.0,1.1049805004430981,0.8641714249767442
0.1,15.0,1.0127062401240152,0.8386245216647277
0.15,14.0,0.7984876842170913,0.7231067228700087
0.26,15.0,0.33871853501595367,0.37525460173743347
0.21,8.0,0.6132529047544175,0.6271303920510759
0.32,8.0,0.4122827393547859,0.37604650019984615
0.22,7.0,0.5801615511495223,0.6182931521817272
0.3,5.0,0.5301551446055691,0.49268154907804695
0.35,13.0,0.31625106869149766,0.2722191065330616
0.22,13.0,0.4526757504088551,0.5092051606298889
0.25,6.0,0.5369244958037154,0.5603970528986133
0.25,11.0,0.4061193962403523,0.451029283573908
0.4,15.0,0.2889463181500286,0.22603157062808543
0.35,7.0,0.42967321708530576,0.3650229137963952
0.28,9.0,0.4120237314466131,0.41926715713414764
0.35,12.0,0.32905991298823856,0.2828455995193597
0.28,15.0,0.321563243544866,0.3366418923721727
0.28,11.0,0.3738995359929216,0.38531583267879355
0.15,7.0,0.8989721467997891,0.7938144063636949
0.21,15.0,0.4985610269904824,0.5146219530101033
0.25,9.0,0.4459556640122472,0.4866438677400022
0.31,9.0,0.39340838318476845,0.3698792768201643
0.34,10.0,0.36287174349568524,0.3179071024905001
0.34,6.0,0.4668738523694764,0.40274667841283807
0.22,4.0,0.7150942885733743,0.7035543060069461
0.23,8.0,0.5140553054180678,0.5645813789210441
